,Platform,12 to 17,18 to 24,25 to 34,35 and up,younger than 12
0,Desktop,64.67477525118984,69.13869983571932,74.97765862377122,60.30534351145038,38.88888888888889
1,PS4,42.147012162876784,48.29852147383244,55.22788203753352,53.43511450381679,25.925925925925924
2,Xbone,30.883130618720255,22.43604787608543,21.090259159964255,23.66412213740458,20.37037037037037
3,Switch,47.06504494976203,43.53438160056325,50.580875781948166,36.6412213740458,34.25925925925926
4,Retros,24.960338445267055,32.433701009152784,42.62734584450402,38.93129770992366,38.88888888888889
5,Laptop,48.12268640930725,60.03285613705703,54.78105451295799,45.038167938931295,37.96296296296296
