Age Group,Africa,Asia / Pacific,Europe,Latin America,Middle East,North America,Oceania,Total (Age)
younger than 12,27.522935779816514,0.9592326139088728,0.41339396444811904,1.5384615384615385,10.204081632653061,1.0453850076491586,1.694915254237288,1.4380825565912116
12 to 17,36.69724770642202,24.700239808153476,20.835055808185203,25.0,31.97278911564626,27.33299337072922,25.423728813559322,25.1797603195739
18 to 24,19.26605504587156,57.31414868105516,61.59570070276974,56.15384615384615,46.25850340136054,55.32891381947985,53.813559322033896,56.737683089214386
25 to 34,7.339449541284404,14.86810551558753,15.543613063249277,16.923076923076923,8.843537414965986,14.788373278939318,15.254237288135593,14.900133155792277
35 and up,9.174311926605505,2.158273381294964,1.6122364613476645,0.38461538461538464,2.7210884353741496,1.5043345232024476,3.8135593220338984,1.744340878828229
